	ORF	Metabolite
0	YBR204C	triglyceride (1-16:0, 2-18:1, 3-16:0)
0	YBR204C	triglyceride (1-16:1, 2-16:1, 3-18:0)
0	YBR204C	triglyceride (1-18:0, 2-18:1, 3-16:0)
0	YBR204C	triglyceride (1-16:1, 2-18:1, 3-18:1)
0	YBR204C	diglyceride (1-16:0, 2-16:1)
0	YBR204C	triglyceride (1-16:0, 2-16:1, 3-16:0)
0	YBR204C	triglyceride (1-18:1, 2-16:1, 3-16:1)
0	YBR204C	triglyceride (1-18:1, 2-16:1, 3-18:0)
0	YBR204C	triglyceride (1-16:0, 2-18:1, 3-18:1)
0	YBR204C	triglyceride (1-16:0, 2-16:1, 3-16:1)
0	YBR204C	triglyceride (1-18:1, 2-16:1, 3-18:1)
0	YBR204C	triglyceride (1-16:1, 2-18:1, 3-16:1)
0	YBR204C	triglyceride (1-18:1, 2-18:1, 3-16:0)
0	YBR204C	triglyceride (1-16:1, 2-18:1, 3-18:0)
0	YBR204C	triglyceride (1-18:0, 2-18:1, 3-16:1)
0	YBR204C	triglyceride (1-16:0, 2-16:1, 3-18:1)
0	YBR204C	triglyceride (1-18:0, 2-16:1, 3-16:1)
0	YBR204C	triglyceride (1-18:0, 2-16:1, 3-16:0)
0	YBR204C	triglyceride (1-18:0, 2-16:1, 3-18:0)
0	YBR204C	triglyceride (1-18:1, 2-18:1, 3-16:1)
0	YBR204C	triglyceride (1-16:0, 2-16:1, 3-18:0)
0	YBR205W	GDP
0	YBR205W	alpha-D-mannosyl-beta-D-mannosyldiacetylchitobiosyldiphosphodolichol
0	YBR205W	GDP-alpha-D-mannose
0	YBR205W	H+
0	YBR205W	beta-D-mannosyldiacetylchitobiosyldiphosphodolichol
0	YBR208C	ADP
0	YBR208C	H+
0	YBR208C	urea-1-carboxylic acid
0	YBR208C	phosphate
0	YBR208C	ATP
0	YBR208C	urea
0	YBR208C	bicarbonate
0	YBR208C	ammonium
0	YBR208C	carbon dioxide
0	YBR208C	H2O
0	YBR213W	H+
0	YBR213W	siroheme
0	YBR213W	sirohydrochlorin
0	YBR213W	iron(2+)
0	YBR213W	NADH
0	YBR213W	NAD
0	YBR213W	precorrin-2
0	YBR218C	ADP
0	YBR218C	H+
0	YBR218C	phosphate
0	YBR218C	oxaloacetate
0	YBR218C	pyruvate
0	YBR218C	ATP
0	YBR218C	bicarbonate
0	YBR221C	carbon dioxide
0	YBR221C	NADH
0	YBR221C	acetyl-CoA
0	YBR221C	NAD
0	YBR221C	coenzyme A
0	YBR221C	pyruvate
0	YBR222C	diphosphate
0	YBR222C	AMP
0	YBR222C	Oxalyl-CoA
0	YBR222C	coenzyme A
0	YBR222C	ATP
0	YBR222C	Oxalate
0	YBR229C	G00011
0	YBR229C	D-glucose
0	YBR229C	H2O
0	YBR229C	G00010
0	YBR229C	G00171
0	YBR235W	sodium
0	YBR235W	chloride
0	YBR235W	potassium
0	YBR241C	D-glucose
0	YBR241C	D-fructose
0	YBR241C	D-galactose
0	YBR242W	phosphate
0	YBR242W	deoxycytidine
0	YBR242W	H2O
0	YBR242W	dCMP
