	ORF1	ORF2
0	YDL066W	YDL066W
0	YDL067C	Q0045
0	YDL078C	YDL078C
0	YDL080C	YDL080C
0	YDL080C	YLR134W
0	YDL085W	YMR145C
0	YDL090C	YDL090C
0	YDL093W	YAL023C
0	YDL095W	YAL023C
0	YDL100C	YDL100C
0	YDL103C	YDL103C
0	YDL120W	YDL120W
0	YDL131W	YDL182W
0	YDL141W	YNR016C
0	YDL141W	YDL141W
0	YDL142C	YDL142C
0	YDL166C	YDL166C
0	YDL168W	YOL086C
0	YDL168W	YDL168W
0	YDL168W	YBR145W
0	YDL171C	YDL171C
0	YDL174C	YJR048W
0	YDL178W	YJR048W
0	YDL182W	YDL182W
0	YDL185W	YOR270C
0	YDL185W	YPL234C
0	YDL198C	YDL198C
0	YDL205C	YDL205C
0	YDL210W	YDL210W
0	YDL215C	YDL215C
0	YDL219W	YDL219W
0	YDL236W	YDL236W
0	YDL238C	YDL238C
0	YDL243C	YDL243C
0	YDL243C	YJR155W
0	YDL243C	YNL331C
0	YDL243C	YCR107W
0	YDL245C	YDL245C
0	YDL245C	YNR072W
0	YDL245C	YJL219W
0	YDL245C	YHR096C
0	YDL245C	YEL069C
0	YDL246C	YDL246C
0	YDL247W	YBR298C
0	YDL247W	YNR072W
0	YDR001C	YDR001C
0	YDR007W	YDR007W
0	YDR009W	YDR009W
0	YDR017C	YDR017C
0	YDR019C	YMR189W
0	YDR019C	YDR019C
0	YDR019C	YFL018C
0	YDR019C	YAL044C
0	YDR020C	YDR020C
0	YDR020C	YNR012W
0	YDR023W	YDR023W
0	YDR035W	YDR035W
0	YDR035W	YBR249C
0	YDR036C	YDR036C
0	YDR037W	YDR037W
0	YDR038C	YDR038C
0	YDR039C	YDR038C
0	YDR040C	YDR038C
0	YDR044W	YDR044W
0	YDR046C	YDR508C
0	YDR046C	YBR069C
0	YDR046C	YCL025C
0	YDR046C	YOL020W
0	YDR046C	YDR046C
0	YDR046C	YKR039W
0	YDR047W	YDR047W
0	YDR050C	YDR050C
0	YDR051C	YDR051C
0	YDR058C	YDR058C
0	YDR062W	YDR062W
0	YDR071C	YDR071C
0	YDR072C	YDR072C
0	YDR074W	YDR074W
0	YDR074W	YML100W
0	YDR093W	YDR093W
0	YDR098C	YCL035C
0	YDR105C	YCL025C
0	YDR111C	YDR111C
0	YDR127W	YDR127W
0	YDR135C	YDR135C
0	YDR147W	YDR147W
0	YDR148C	YDR019C
0	YDR148C	YIL125W
0	YDR148C	YFR049W
0	YDR158W	YDR158W
0	YDR173C	YDR173C
0	YDR178W	YDR178W
0	YDR191W	YOR025W
0	YDR196C	YDR196C
0	YDR204W	YLR201C
0	YDR204W	YGR255C
0	YDR204W	YOR125C
0	YDR208W	YDR208W
0	YDR226W	YDL166C
0	YDR231C	Q0045
0	YDR232W	YDR232W
0	YDR234W	YDR234W
0	YDR234W	YJL200C
0	YDR236C	YDR236C
0	YDR242W	YDR242W
0	YDR242W	YMR293C
0	YDR248C	YDR248C
0	YDR256C	YDR256C
0	YDR261C	YGR282C
0	YDR268W	YDR268W
0	YDR270W	YDR270W
0	YDR272W	YDR272W
0	YDR284C	YDR284C
0	YDR287W	YDR287W
0	YDR294C	YDR294C
0	YDR297W	YDR297W
0	YDR298C	YPL271W
0	YDR300C	YDR300C
0	YDR302W	YDR302W
0	YDR305C	YDR305C
0	YDR315C	YDR315C
0	YDR321W	YDR321W
0	YDR341C	YDR341C
0	YDR342C	YDR342C
0	YDR342C	YJL219W
0	YDR342C	YHR096C
0	YDR342C	YNR072W
0	YDR342C	YDL245C
0	YDR342C	YHR092C
0	YDR343C	YNR072W
0	YDR343C	YDL245C
0	YDR343C	YHR096C
0	YDR343C	YJL219W
0	YDR345C	YJL219W
0	YDR345C	YNR072W
0	YDR345C	YHR096C
0	YDR345C	YDL245C
0	YDR352W	YDR352W
0	YDR352W	YBR147W
0	YDR353W	YDR353W
0	YDR354W	YDR354W
0	YDR367W	YDR367W
0	YDR367W	YKL004W
0	YDR368W	YDR368W
0	YDR368W	YMR318C
0	YDR368W	YCR105W
0	YDR371W	YDR371W
0	YDR373W	YNL267W
0	YDR373W	YDR373W
0	YDR376W	YER141W
0	YDR376W	YDR376W
0	YDR377W	YPL271W
0	YDR380W	YDR380W
0	YDR384C	YGR121C
0	YDR387C	YNR072W
0	YDR399W	YDR399W
0	YDR400W	YDR400W
0	YDR402C	YDR402C
0	YDR402C	YDR403W
0	YDR403W	YDR403W
0	YDR408C	YDR408C
0	YDR410C	YDR410C
0	YDR428C	YDR428C
0	YDR437W	YNL038W
0	YDR440W	YDR440W
0	YDR441C	YDR441C
0	YDR452W	YDR452W
0	YDR452W	YHR201C
0	YDR453C	YGR209C
0	YDR454C	YDR454C
0	YDR456W	YDR456W
0	YDR481C	YDR481C
0	YDR483W	YOR099W
0	YDR487C	YDR487C
0	YDR497C	YDR497C
0	YDR502C	YDR502C
0	YDR503C	YDR503C
0	YDR508C	YDR508C
0	YDR508C	YBR069C
0	YDR508C	YCL025C
0	YDR508C	YDR046C
0	YDR513W	YCL035C
0	YDR513W	YKL026C
0	YDR516C	YGL253W
0	YDR529C	YEL024W
0	YDR530C	YDR530C
0	YDR531W	YDR531W
0	YDR533C	YMR322C
0	YDR536W	YGL084C
0	YDR536W	YNR072W
0	YDR538W	YDR538W
0	YDR539W	YDR538W
0	YER060W-A	YER060W-A
0	YER060W-A	YER056C
0	YGL001C	YGL001C
0	YGL006W	YGL006W
0	YGL008C	YPL036W
0	YGL009C	YGL009C
0	YGL012W	YGL012W
0	YGL017W	YGL017W
0	YGL022W	YGL022W
0	YGL026C	YGL026C
0	YGL027C	YGL027C
0	YGL037C	YGL037C
0	YGL038C	YGL038C
0	YGL040C	YGL040C
0	YGL047W	YGL047W
0	YGL055W	YGL055W
0	YGL062W	YGL062W
0	YGL063W	YNL292W
0	YGL065C	YGL065C
0	YGL067W	YGL067W
0	YGL077C	YGL077C
0	YGL080W	YGL080W
0	YGL084C	YGL084C
0	YGL101W	YGL101W
0	YGL101W	YBR242W
0	YGL125W	YGL125W
0	YGL142C	YGL142C
0	YGL148W	YGL148W
0	YGL154C	YGL154C
0	YGL156W	YGL156W
0	YGL167C	YGL167C
0	YGL169W	YGL169W
0	YGL184C	YFR055W
0	YGL186C	YER056C
0	YGL186C	YGL186C
0	YGL187C	Q0045
0	YGL191W	Q0045
0	YGL196W	YGL196W
0	YGL202W	YGL202W
0	YGL202W	YER152C
0	YGL205W	YGL205W
0	YGL224C	YGL224C
0	YGL224C	YER037W
0	YGL225W	YGL225W
0	YGL234W	YGL234W
0	YGL245W	YGL245W
0	YGL248W	YGL248W
0	YGL253W	YLR446W
0	YGL253W	YFR053C
0	YGL253W	YGL253W
0	YGL255W	YGL255W
0	YGL256W	YGL256W
0	YGL256W	YMR083W
0	YGR007W	YGR007W
0	YGR010W	YLR328W
0	YGR012W	YGR012W
0	YGR015C	YGR015C
0	YGR015C	YOR377W
0	YGR015C	YGR177C
0	YGR019W	YGR019W
0	YGR020C	YOR270C
0	YGR020C	YPL234C
0	YGR032W	YLR342W
0	YGR036C	YGR036C
0	YGR038W	YDR062W
0	YGR043C	YGR043C
0	YGR046W	YGR046W
0	YGR055W	YDR508C
0	YGR060W	YGR060W
0	YGR061C	YGR061C
0	YGR062C	Q0045
0	YGR065C	YGR065C
0	YGR087C	YLR134W
0	YGR087C	YGR087C
0	YGR087C	YLR044C
0	YGR088W	YGR088W
0	YGR094W	YGR094W
0	YGR096W	YGR096W
0	YGR106C	YOR270C
0	YGR106C	YPL234C
0	YGR110W	YGR110W
0	YGR121C	YGR121C
0	YGR124W	YGR124W
0	YGR138C	YPR156C
0	YGR143W	YPR159W
0	YGR144W	YGR144W
